tSNE1,tSNE2,tSNE3,tSNE4,area
-0.793653594,0.15232971,1.536905259,1.999677476,-0.201453574
-0.578182771,-0.017331555,1.434421531,1.443388067,-0.201453574
1.855903014,-0.006395318,-0.963800208,-0.470122478,-0.201453574
1.744406991,0.525030115,-1.056303277,-0.926545112,-0.201453574
-0.29076358,-0.00149551,0.373026505,0.231689266,-0.201453574
-0.291995486,0.234438149,0.385648003,0.222190788,-0.201453574
-0.417574908,0.163322389,1.806122647,1.783077931,-0.201453574
1.846225158,-0.076017637,-1.033390923,-1.817917949,-0.201453574
-0.445368488,-0.199327853,0.325944763,0.314107518,-0.201453574
1.976488048,-0.100645154,-1.256223394,-1.69596724,-0.201453574
-1.065126308,-0.100058731,-0.926392368,-0.112631274,-0.201453574
0.886947513,-0.050447221,-0.706471202,-0.760914733,-0.201453574
1.970151223,0.504148939,-1.431667452,-1.379584562,-0.201453574
0.635909069,0.257466248,-0.55896046,-0.722818684,-0.201453574
-1.070490667,-0.07067237,-0.928786547,-0.078902305,-0.201453574
-0.882601632,-0.032397554,0.139273125,0.656294501,-0.201453574
0.883750131,0.182055823,-0.686274457,-1.296196411,-0.201453574
-0.374482171,0.164656667,-0.370339678,0.012269921,-0.201453574
1.869827708,0.472018503,-0.95184342,-1.10801359,-0.201453574
-0.631209111,0.176822129,-0.945219477,-0.117797571,-0.201453574
-0.445325501,-0.677118442,0.462343339,-0.435328956,-0.201453574
-0.572798689,0.259939341,0.201965603,0.841738677,-0.201453574
-0.41248604,-0.163519968,1.833962131,1.388365911,-0.201453574
0.008047035,0.007434159,0.279144564,-0.131710884,-0.201453574
-0.470338026,-0.265135042,-0.657343609,-0.734586453,-0.201453574
-1.171726969,0.2636076,1.174052332,2.370418133,-0.201453574
1.875220809,-0.093325416,-1.115550989,-1.673007567,-0.201453574
1.791461063,0.142372873,-1.193311977,-0.635383597,-0.201453574
-0.447083186,-0.747592503,0.478031573,-0.511340213,-0.201453574
-0.397348685,-0.655025886,1.665129389,0.615061968,-0.201453574
-0.408372284,-0.021742054,1.665187884,1.424783495,-0.201453574
-0.398363504,-0.087060841,0.338770691,0.203272739,-0.201453574
0.099966453,-0.336285594,-0.390204898,-1.446488869,-0.201453574
-0.773583706,-0.091261602,0.160376392,0.467763454,-0.201453574
-0.180377752,-0.146346665,0.392323674,0.223350782,-0.201453574
0.150328944,0.262898146,-0.41154765,-0.271408929,-0.201453574
0.159240008,0.209225536,-0.445336204,-0.926528426,-0.201453574
-0.516323444,-0.206126524,1.810297142,1.443773835,-0.201453574
0.647804864,0.201240475,-0.654159304,-0.880603304,-0.201453574
-0.791285423,0.221695666,1.527929267,2.077317925,-0.201453574
1.021141915,0.117033767,-0.781330143,-1.021916135,-0.201453574
-0.395995076,-0.020090803,-0.581491793,-0.39134302,-0.201453574
-0.027648383,-0.055810649,0.324186262,-0.161286737,-0.201453574
1.781259372,-0.1751678,-0.93083338,-1.491626266,-0.201453574
0.084234774,0.010021374,-0.425327406,-0.738868894,-0.201453574
1.929596327,0.347519015,-1.192941052,-0.464853246,-0.201453574
-1.110606003,0.082954789,1.305534959,1.628788633,-0.201453574
-0.745339554,-0.258436982,1.532640159,1.423822977,-0.201453574
0.260171623,-0.043755477,-0.619452813,-1.129952512,-0.201453574
-0.626177999,-0.042909706,1.439083144,1.472569487,-0.201453574
-1.199673935,0.00912329,1.067459479,1.709106918,-0.201453574
0.710515232,0.25978924,-0.664444678,-0.854513776,-0.201453574
-0.545059043,-0.211485949,-0.475228672,-0.439498811,-0.201453574
-0.028079898,0.10290927,0.338108441,0.089519302,-0.201453574
-0.795204668,0.083524124,1.545249731,1.925559681,-0.201453574
1.716982309,-0.025596648,-1.220161675,-1.067115834,-0.201453574
1.111137165,0.119062001,-0.816695401,-0.983001879,-0.201453574
0.614559494,0.199436033,-0.557679543,-0.700495698,-0.201453574
-1.192677557,0.416569854,1.117047852,2.05800487,-0.201453574
-0.506536732,0.046151881,1.78411793,1.726127927,-0.201453574
0.264140863,0.435411033,-0.408382958,-0.325732987,-0.201453574
1.711545412,0.354710356,-1.321793566,-1.260694213,-0.201453574
-0.470247659,-0.265633507,-0.657787689,-0.735772442,-0.201453574
2.009633529,0.376265258,-1.050856123,-1.147201483,-0.201453574
0.139575141,-0.566185474,-0.344213312,-1.940745347,-0.201453574
-1.281316385,0.111076444,1.000046564,2.099307861,-0.201453574
-0.620499483,0.145785969,0.178288441,0.718656493,-0.201453574
-0.470473712,-0.305149606,-0.665577998,-0.800575878,-0.201453574
2.056183536,0.089706291,-1.157141112,-0.677743113,-0.201453574
-0.027700719,0.090273572,0.336151449,0.072212329,-0.201453574
1.913944115,0.575999009,-1.152395637,-1.329841641,-0.201453574
-0.816164825,-0.089540612,-0.969777533,-0.360354684,-0.201453574
2.021805699,-0.104572669,-1.047230946,-1.006957177,-0.201453574
1.884687749,0.510689638,-1.088273811,-0.753515943,-0.201453574
-0.481510147,0.059293703,1.796200727,1.721266754,-0.201453574
1.125554502,0.145753987,-0.812002921,-0.948847754,-0.201453574
-1.051871697,0.409996951,1.385819244,2.153762165,-0.201453574
1.732140918,0.188518169,-1.264850899,-1.528357747,-0.201453574
1.587190746,0.238802446,-1.151861414,-0.871298976,-0.201453574
-0.763930899,-0.855514711,1.547245891,0.717833326,-0.201453574
-0.882573669,-0.032430291,0.139257728,0.656135736,-0.201453574
-0.668088705,-0.013115102,1.440029196,1.56247495,-0.201453574
1.890099434,-0.154365168,-1.129336412,-0.588147371,-0.201453574
0.203843399,-0.138681571,-0.399560673,-1.092102758,-0.201453574
-0.687724827,0.125845527,1.596581343,1.889953945,-0.201453574
0.162835713,-0.549271724,-0.340219207,-1.921065292,-0.201453574
-0.855006152,-0.46633448,1.592146575,1.351323467,-0.201453574
-0.237746235,-0.125892485,0.425236463,0.046728118,-0.201453574
1.788589773,-0.263640165,-1.151166387,-0.643247721,-0.201453574
-0.636905459,-0.161499659,1.453594618,1.349605359,-0.201453574
1.735338348,-0.304006368,-1.179292542,-1.312283829,-0.201453574
-0.647698879,-0.307844974,1.470449748,1.192779029,-0.201453574
-0.475085948,0.164644363,1.782416105,1.835412929,-0.201453574
1.939826614,-0.363107184,-1.275614539,-1.33455373,-0.201453574
1.834813832,-0.62128477,-1.079998619,-1.158752699,-0.201453574
-0.673615954,-0.065130617,-0.92669939,-0.434257548,-0.201453574
0.827089496,-0.000110872,-0.808589281,-1.443415063,-0.201453574
-1.282687915,0.049190914,0.965671892,1.974717186,-0.201453574
-0.619108539,0.121300523,0.194774961,0.567285025,-0.201453574
-0.097920254,0.110319656,-0.484315799,-0.406061233,-0.201453574
0.752759756,-0.031187197,-0.814099639,-1.588964299,-0.201453574
-1.06673905,-0.04742539,-0.932523319,-0.046270967,-0.201453574
0.925587899,0.053061928,-0.616259944,-0.67175056,-0.201453574
-0.547645327,-0.119626054,1.46640325,1.305958136,-0.201453574
2.029003672,-0.078047569,-1.419994408,-1.293041159,-0.201453574
-0.921063647,-0.083995841,-0.969178186,-0.254593968,-0.201453574
-1.111913404,-0.376018905,1.342714869,1.633147726,-0.201453574
0.16025982,-0.238171568,-0.407014869,-1.315777126,-0.201453574
1.90980715,0.293637308,-0.98838972,-0.871628092,-0.201453574
-0.31926482,0.091182697,-0.342770867,-0.131405083,-0.201453574
-0.996425153,-0.068868177,-0.958558912,-0.159377853,-0.201453574
-0.672242603,-0.198075172,0.179841818,0.233768485,-0.201453574
1.010231037,-0.047504076,-0.726448279,-0.716660614,-0.201453574
-0.47735411,-0.360565837,1.841920097,1.229311063,-0.201453574
-0.70368544,0.112413021,-0.963796477,-0.45392157,-0.201453574
1.994439706,-0.306810415,-1.273199448,-0.806699319,-0.201453574
-1.096776981,-0.930315912,1.47052119,0.957215729,-0.201453574
-0.406104794,-0.489010479,0.430675671,-0.258370313,-0.201453574
0.706833069,-0.063480974,-0.809845521,-1.806695016,-0.201453574
-0.875740935,-0.061138204,-0.974357218,-0.266639563,-0.201453574
1.931553804,0.452321248,-1.378412547,-0.742780292,-0.201453574
-0.599756593,-0.170028373,1.559710402,1.383292248,-0.201453574
-0.642569189,0.035137278,1.621124017,1.74628945,-0.201453574
-0.539085725,-0.154225282,-0.846977116,-0.629867025,-0.201453574
-0.238465001,-0.159198163,0.426769717,0.00338415,-0.201453574
-0.347967957,0.217958907,0.325489521,0.539219921,-0.201453574
-0.600908,-0.26220046,1.460799309,1.186670234,-0.201453574
1.191818774,0.118393783,-0.850441249,-1.000379839,-0.201453574
-0.551441876,0.185026537,1.39840197,1.635811603,-0.201453574
1.845278168,-0.476502431,-1.039368182,-1.580098132,-0.201453574
0.751747103,0.188420946,-0.583311454,-0.64995675,-0.201453574
0.11587088,0.013434367,-0.440607153,-0.764905273,-0.201453574
-0.769196983,-0.218692578,-0.946030218,-0.574186349,-0.201453574
1.998195953,0.083680971,-1.152314716,-1.724696881,-0.201453574
-0.767550371,-0.047242007,0.159375374,0.519689901,-0.201453574
-0.333006591,-0.028570171,-0.778466706,-0.614472525,-0.201453574
-0.062236428,0.265697576,0.39279027,0.400426943,-0.201453574
-0.711355177,0.18942349,0.168980958,0.764853827,-0.201453574
-0.493997804,0.22753155,1.762174563,1.920643757,-0.201453574
0.648133846,0.075428142,-0.652519166,-0.872094569,-0.201453574
-0.182769132,0.128615499,0.400824532,0.030164519,-0.201453574
-0.73517696,0.122807898,-0.985412437,-0.175725495,-0.201453574
-0.422414232,0.049287123,1.818551131,1.655111912,-0.201453574
-0.743519232,0.052416917,1.572918391,1.851512331,-0.201453574
1.963683244,-0.386339707,-1.192612211,-0.797465758,-0.201453574
-0.011469601,-0.194759661,-0.640927862,-1.199684305,-0.201453574
-1.256313089,-0.21043898,0.996866704,2.031374699,-0.201453574
1.893533079,-0.180568362,-1.274467753,-1.276987452,-0.201453574
-0.994363632,-0.37836504,1.460924655,1.425587524,-0.201453574
0.717855297,-0.048895561,-0.812143595,-1.6703727,-0.201453574
-0.451538036,-0.191555999,1.550921033,1.171539757,-0.201453574
0.697764523,0.149158675,-0.555842451,-0.702175214,-0.201453574
2.037324219,0.385062807,-1.381586868,-1.477026521,-0.201453574
-1.039434759,-0.126366928,-0.936813423,-0.174808382,-0.201453574
-0.73464198,0.140284788,-0.972903553,-0.126164002,-0.201453574
0.504729015,0.023830346,-0.500742131,-1.03249297,-0.201453574
-0.442510115,-0.155343241,1.828988966,1.431434503,-0.201453574
-0.613141607,-0.055560573,0.217948018,0.363352379,-0.201453574
-0.125823747,0.014812217,0.374882561,0.084095126,-0.201453574
-0.874070181,-0.053887173,-0.975061067,-0.259221883,-0.201453574
-1.087903604,-0.115768087,1.390600822,1.788431812,-0.201453574
0.654051744,0.069607553,-0.594398624,-1.214975106,-0.201453574
-0.764023265,-0.013982006,0.160471923,0.558622227,-0.201453574
-0.623444612,0.438433431,0.19750475,0.93921237,-0.201453574
-0.670593094,0.049389114,-0.930489335,-0.331098429,-0.201453574
-0.288875243,0.118574664,0.377099339,0.393177432,-0.201453574
0.163419844,-0.114761528,-0.268566253,-0.954332913,-0.199165032
-0.375837748,0.023843024,-0.366525218,-0.19075041,-0.198626552
-0.376254602,0.043989646,-0.369074688,-0.162257493,-0.198222692
-0.924987923,-0.049868126,1.474437412,1.876620241,-0.197011111
0.988572179,0.166809248,-0.703265138,-0.812080297,-0.196607251
-0.746277679,-0.293512362,1.539482273,1.387885351,-0.19593415
-0.915738696,-0.078272561,0.127933564,0.627827517,-0.19566491
-0.501400715,-0.052006191,0.286518643,0.438911546,-0.19566491
-0.447427201,0.033859487,0.312555519,0.391637366,-0.19512643
-0.328860243,-0.214063003,-0.354560663,-0.583368643,-0.194453329
-0.801309811,-0.385325245,1.784930341,1.54900431,-0.194453329
0.562578576,0.155109101,-0.545719867,-0.763264766,-0.194049469
0.503085941,0.096272855,-0.511611474,-0.86579373,-0.193241749
-0.373101424,0.194736508,-0.364775114,0.058653015,-0.192299408
0.308900396,0.024384144,-0.339776239,-0.790324397,-0.192299408
1.016547622,0.187769806,-0.715482061,-0.814104536,-0.191895548
-0.59175333,-0.022924745,-0.429398004,-0.082719802,-0.191222447
0.562478913,0.151567624,-0.545200902,-0.769804768,-0.191087827
0.439070983,0.022421564,-0.452364843,-0.952783498,-0.190818587
1.021279511,0.117954249,-0.780769059,-1.025461619,-0.189337766
1.812299065,0.370524405,-1.114631894,-1.689841143,-0.188664666
-0.440834256,0.041169032,1.521424738,1.425222668,-0.188530046
-1.214870589,0.381637649,1.179221555,2.086859427,-0.187856945
-0.125258727,-0.059075853,0.378518365,-0.023626912,-0.187049225
-1.220821267,0.092587954,1.130220229,1.555588526,-0.186779984
2.037553933,-0.250376255,-1.220787665,-1.176689866,-0.186645364
0.778355867,0.190645253,-0.58688251,-0.661241928,-0.185433784
-0.998783455,-0.014697563,1.388337299,2.392838208,-0.184491443
0.251709771,0.08862634,-0.360712887,-0.673380385,-0.184087583
0.904950695,0.062948245,-0.765423487,-0.819400145,-0.183145242
-0.545653794,-0.024927701,-0.425836615,-0.131453328,-0.182876002
-0.71359215,0.139386544,0.167683343,0.701315246,-0.181799041
-1.128836449,-0.001829149,1.357290471,2.022909905,-0.181664421
0.38044828,0.079217152,-0.4201621,-0.780059144,-0.180991321
0.021582088,0.054457762,-0.320535957,-0.507399413,-0.18045284
-0.71315643,0.135499867,0.168475029,0.695396137,-0.17977974
-0.180951835,-0.095385928,0.405555419,0.009759423,-0.1795105
0.728947651,0.075055104,-0.66800187,-0.747205895,-0.1795105
-0.996710223,-0.587801559,1.510022739,1.295348423,-0.17937588
-0.289255869,-0.084020938,0.376274496,0.459515198,-0.178702779
-0.998845213,0.094035859,1.428467025,1.656320843,-0.178298919
-1.267035781,0.059221921,0.978838486,1.717557018,-0.177895059
1.820568433,0.669881098,-0.995179698,-1.239367533,-0.177895059
0.825752445,0.107482136,-0.704639886,-0.857805401,-0.177760439
0.284034173,-0.073526536,-0.457828817,-0.840075556,-0.175875758
1.761444954,-0.08021666,-0.944668367,-0.90560151,-0.175337277
-0.356444494,-0.430316199,0.434698883,-0.223119523,-0.175202657
-0.508242671,0.144933132,0.081535232,0.425942679,-0.175202657
0.147297826,0.081103761,-0.360796606,-0.615913399,-0.174529557
-0.712570469,-0.644778625,1.515313107,0.88700939,-0.174394937
-0.989714531,-0.093754454,1.370525045,1.945644245,-0.174125696
0.212837156,0.311990308,-0.387312304,-0.173086002,-0.173587216
-0.803825135,-0.308621589,1.516347661,1.420098721,-0.172779496
1.887020852,0.265642531,-1.375389548,-1.225660341,-0.172644875
-0.925435408,-0.089819249,0.123766634,0.621534274,-0.172241015
-1.292832148,-0.101705848,0.958426663,1.778489954,-0.172106395
-0.1806708,-0.173296802,0.414615092,-0.090916601,-0.170625574
-0.557830068,0.051013303,-0.870418149,-0.306059379,-0.169817854
-0.502651375,0.015808398,-0.84258291,-0.410164346,-0.168606273
1.7809821,0.166260854,-0.901345487,-1.257660178,-0.167394692
0.281720005,0.062509476,-0.442441024,-1.023627031,-0.167125452
-0.563583594,-0.077744715,0.247802252,0.337058366,-0.166856212
0.158064253,0.261363695,-0.463937358,-0.732879687,-0.16456767
-0.584400231,-0.153353413,-0.469603344,-0.308691172,-0.162817609
-1.150553175,-0.393024876,1.300647332,1.559879657,-0.162009889
